0.0 1.0 0.0
1.0 1.0 1.7083333333333333
2.0 -1.0642361111111112 3.4166666666666665
3.0 -3.385450462426387 4.685995506317885
4.0 -5.666094625238773 5.825076171460638
5.0 -7.916647252503885 6.922505422140907
6.0 -10.14912834735457 8.001356082131895
7.0 -12.369971181642267 9.07002996914287
8.0 -14.58277830016873 10.132368669428457
9.0 -16.789728359040193 11.190412799757345
10.0 -18.992228434400634 12.245365003940305
11.0 -21.19123642322613 13.297989720207866
12.0 -23.387432534216153 14.348801459627511
13.0 -25.581316612443032 15.398162345151565
14.0 -27.77326647559917 16.44633653914846
15.0 -29.963574522435167 17.493522474619756
16.0 -32.15247161397744 18.539872892755604
17.0 -34.34014317550347 19.585507814251812
18.0 -36.52674036639737 20.630523228321074
19.0 -38.71238802226384 21.674997085949975
20.0 -40.89719042540632 22.71899353974319
21.0 -43.08123557819687 23.76256601041343
22.0 -45.264598421837796 24.8057594482699
23.0 -47.44734329779276 25.8486120301195
24.0 -49.62952585589948 26.891156452352906
25.0 -51.81119455187856 27.93342093008676
26.0 -53.99239183581584 28.975429978925202
27.0 -56.17315510506239 30.017205033640348
28.0 -58.35351747542177 31.058764942901863
29.0 -60.53350841065925 32.10012636866731
30.0 -62.71315424044733 33.14130411143476
31.0 -64.8924785896528 34.182311377261456
32.0 -67.0715027365682 35.2231599986138
33.0 -69.25024591374522 36.26386061829793
34.0 -71.42872556212046 37.30442284363021
35.0 -73.60695754687255 38.3448553764395
36.0 -75.78495634172228 39.385166123305495
37.0 -77.96273518705414 40.425362289529474
38.0 -80.14030622619755 41.465450459633274
39.0 -82.31768062339023 42.50543666663789
40.0 -84.49486866630053 43.545326451946266
41.0 -86.67187985547245 44.58512491731803
42.0 -88.84872298264486 45.62483677015641
43.0 -91.02540619956545 46.664466363113455
44.0 -93.20193707865093 47.70401772884755
45.0 -95.37832266662585 48.74349461062795
46.0 -97.55456953209342 49.78290048936745
47.0 -99.7306838078438 50.82223860757201
48.0 -101.90667122858332 51.8615119906195
49.0 -104.08253716466683 52.9007234657171
50.0 -106.25828665233077 53.93987567883474
51.0 -108.43392442085361 54.97897110986818
52.0 -110.60945491701118 56.01801208624939
53.0 -112.78488232714358 57.05700079519096
54.0 -114.96021059710858 58.09593929472593
55.0 -117.13544345035966 59.13482952368235
56.0 -119.31058440435632 60.173673310713525
57.0 -121.48563678548808 61.212472382489345
58.0 -123.66060374267079 62.251228371140314
59.0 -125.83548825975438 63.28994282103474
60.0 -128.01029316686493 64.32861719495943
61.0 -130.18502115078863 65.36725287976579
62.0 -132.35967476449358 66.40585119153585
63.0 -134.53425643587357 67.44441338031643
64.0 -136.70876847578916 68.482940634464
65.0 -138.88321308547256 69.52143408463796
66.0 -141.05759236335606 70.55989480747611
67.0 -143.23190831137666 71.59832382898196
68.0 -145.40616284080474 72.63672212765074
69.0 -147.58035777763902 73.67509063735784
70.0 -149.75449486760616 74.71343025003105
71.0 -151.92857578079906 75.75174181812574
72.0 -154.10260211598498 76.79002615692008
73.0 -156.276575404611 77.8282840466459
74.0 -158.4504971145324 78.86651623446907
75.0 -160.6243686534861 79.90472343633185
76.0 -162.79819137233045 80.94290633866879
77.0 -164.97196656806932 81.98106560000636
78.0 -167.14569548667808 83.01920185245558
79.0 -169.31937932574638 84.05731570310624
80.0 -171.4930192369521 85.09540773533028
81.0 -173.66661632837915 86.13347851000148
82.0 -175.84017166669074 87.17152856663763
83.0 -178.01368627916898 88.20955842447124
84.0 -180.18716115563038 89.24756858345393
85.0 -182.3605972502262 90.28555952519939
86.0 -184.533995483136 91.32353171386947
87.0 -186.70735674216195 92.36148559700729
88.0 -188.88068188423034 93.39942160632131
89.0 -191.0539717368074 94.43734015842368
90.0 -193.22722709923465 95.47524165552599
91.0 -195.40044874398956 96.51312648609546
92.0 -197.5736374178762 97.55099502547417
93.0 -199.74679384315073 98.58884763646378
94.0 -201.91991871858593 99.62668466987806
95.0 -204.09301272047847 100.66450646506532
96.0 -206.2660765036029 101.70231335040266
97.0 -208.43911070211547 102.74010564376397
98.0 -210.612115930411 103.77788365296307
99.0 -212.78509278393562 104.8156476761739
100.0 -214.95804183995836 105.85339800232886
